"","coords_from_city","state_code","county","FIPS","latitude","longitude","cty_id","Median_Age","Dpercent_2008","Rpercent_2008","Dvote_2008","Rvote_2008","Dpercent_2012","Rpercent_2012","Dvote_2012","Rvote_2012","County_Category_2008","County_Category_2012","overall_LS","percent_female","population_density","percent_white","percent_hispanic","percent_black","mean_income","log_mean_income","percent_asian","percent_bachelors","median_income","Rpercent_diff_squared","Rpercent_diff_abs"
"34","Headland","AL","Henry County",1067,31.35128,-85.34216,1067,42.8,34.9,64.5,3018,5585,35,64.4,3046,5605,3,3,3.3952726647,52,30.8,66.6,2.6,30,45852,10.7332,0.1,13.7,35792,NA,NA
"35","Dothan","AL","Houston County",1069,31.22323,-85.39049,1069,38.5,29.3,70,12225,29254,29.5,69.8,12348,29214,3,3,3.3645130602,52,175.1,69.9,2.2,25.9,57036,10.9514,0.9,19.4,41096,NA,NA
"36","Scottsboro","AL","Jackson County",1071,34.67231,-86.03415,1071,41.4,30.5,67.5,6374,14083,28.3,70.2,5817,14422,3,3,3.3353705266,50.9,49.4,90,2,3.8,44831,10.7107,0.3,11.3,35073,NA,NA
"37","Birmingham","AL","Jefferson County",1073,33.52066,-86.80249,1073,37.1,52.2,47.1,166121,149921,52.6,46.6,159658,141413,2,2,3.3730769934,52.6,592.5,53.1,3.6,40.9,63818,11.0638,1.4,28.1,44718,NA,NA
"38","Vernon","AL","Lamar County",1075,33.75705,-88.10892,1075,43.5,22.8,76.5,1614,5419,23,76.2,1643,5453,3,3,3.3678733305,51.3,24.1,85.2,2.3,11.7,45745,10.7308,0.1,9,31094,NA,NA
"39","Florence","AL","Lauderdale County",1077,34.79981,-87.67725,1077,40.4,35,63.2,13329,24068,33.9,64.8,12504,23902,3,3,3.3700277283,52.1,138.8,86.3,1.8,10.3,51299,10.8454,0.4,20.3,37691,NA,NA
"40","Moulton","AL","Lawrence County",1079,34.48121,-87.29335,1079,40.6,35.2,63.2,5164,9277,35.9,62.9,5055,8855,3,3,3.3744162738,51.1,49.7,77.4,1.9,11.8,49358,10.8069,0.2,10.3,41472,NA,NA
"41","Auburn","AL","Lee County",1081,32.60986,-85.48078,1081,29.5,39.6,59.3,21498,32230,39.3,59.2,21274,32062,3,3,3.4200826613,50.7,230.8,71.2,2.2,23.6,53200,10.8818,2,30.7,38588,NA,NA
"42","Athens","AL","Limestone County",1083,34.80287,-86.97167,1083,38.4,28.4,70.3,9536,23598,27.7,71.4,9809,25263,3,3,3.4583715855,49.4,147.8,79.8,4.6,13.5,58542,10.9775,0.8,18.2,44997,NA,NA
"43","Fort Deposit","AL","Lowndes County",1085,31.98459,-86.57859,1085,40.6,74.9,24.9,5449,1809,76.4,23.3,5747,1754,1,1,NA,53.2,15.8,28.5,1,70.1,43273,10.6753,0.1,13.5,30270,NA,NA
"44","Tuskegee","AL","Macon County",1087,32.42403,-85.69162,1087,36.3,86.9,12.8,9450,1396,87.1,12.7,9045,1322,1,1,3.3873175601,54.2,35.2,15.6,1.1,81.8,39606,10.5867,1.1,20.1,26305,NA,NA
"45","Huntsville","AL","Madison County",1089,34.73037,-86.5861,1089,37.3,41.9,56.9,64117,86965,40,58.6,61802,90679,3,3,3.4199926045,50.9,417.7,68,3.2,24.3,72755,11.1949,2.3,37.9,54979,NA,NA
"46","Demopolis","AL","Marengo County",1091,32.51764,-87.8364,1091,40.4,51.7,48.1,5926,5516,53.5,46.2,6154,5321,2,2,3.3483032538,52.9,21.5,46,2.4,51.1,42443,10.6559,0.2,15.7,30819,NA,NA
"47","Hamilton","AL","Marion County",1093,34.14232,-87.98864,1093,42.8,21,77.2,2600,9536,18.6,80.1,2249,9696,3,3,3.3673888283,50.3,41.5,92.6,1.9,4.2,42434,10.6557,0.2,9,32224,NA,NA
"48","Albertville","AL","Marshall County",1095,34.26759,-86.20887,1095,38.2,21.2,77.5,7038,25727,19.3,79.4,6271,25785,3,3,3.3555381477,50.7,164.4,83.8,12.2,2.1,50566,10.831,0.6,14.7,37396,NA,NA
"49","Mobile","AL","Mobile County",1097,30.69436,-88.04305,1097,36.6,45.3,54,82181,98049,45,54.3,78417,94566,2,2,3.3616647387,52,335.9,60,2,34.5,54264,10.9016,2,19.7,40476,NA,NA
"50","Monroeville","AL","Monroe County",1099,31.52794,-87.32471,1099,40.1,44.7,54.9,5025,6175,45.9,53.7,4897,5730,3,2,3.3820336873,51.8,22.5,56.2,1,40.8,42892,10.6664,0.3,11.5,29810,NA,NA
