,cand_nm,economic_region,contb_receipt_dt_format,contb_receipt_amt
82,"Obama, Barack",Far West,2011-09-29 00:00:00,-615.0
83,"Obama, Barack",Far West,2011-09-30 00:00:00,-2350.0
84,"Obama, Barack",Far West,2011-10-01 00:00:00,-100.0
85,"Obama, Barack",Far West,2011-10-04 00:00:00,-16825.0
86,"Obama, Barack",Far West,2011-10-05 00:00:00,-500.0
87,"Obama, Barack",Far West,2011-10-06 00:00:00,-6510.0
88,"Obama, Barack",Far West,2011-10-07 00:00:00,-4975.0
89,"Obama, Barack",Far West,2011-10-08 00:00:00,-1610.0
90,"Obama, Barack",Far West,2011-10-10 00:00:00,-1000.0
91,"Obama, Barack",Far West,2011-10-11 00:00:00,-1190.0
92,"Obama, Barack",Far West,2011-10-12 00:00:00,-7975.0
93,"Obama, Barack",Far West,2011-10-13 00:00:00,-500.0
94,"Obama, Barack",Far West,2011-10-14 00:00:00,-1000.0
95,"Obama, Barack",Far West,2011-10-17 00:00:00,-90.0
96,"Obama, Barack",Far West,2011-10-18 00:00:00,-2490.0
97,"Obama, Barack",Far West,2011-10-21 00:00:00,-5330.0
98,"Obama, Barack",Far West,2011-10-23 00:00:00,-1000.0
99,"Obama, Barack",Far West,2011-10-26 00:00:00,-4995.0
100,"Obama, Barack",Far West,2011-10-27 00:00:00,-2390.0
101,"Obama, Barack",Far West,2011-10-28 00:00:00,-150.0
102,"Obama, Barack",Far West,2011-10-31 00:00:00,-1535.0
103,"Obama, Barack",Far West,2011-11-01 00:00:00,-530.0
104,"Obama, Barack",Far West,2011-11-03 00:00:00,-990.0
105,"Obama, Barack",Far West,2011-11-04 00:00:00,-1200.0
106,"Obama, Barack",Far West,2011-11-05 00:00:00,-340.0
107,"Obama, Barack",Far West,2011-11-08 00:00:00,-550.0
108,"Obama, Barack",Far West,2011-11-09 00:00:00,-13785.0
109,"Obama, Barack",Far West,2011-11-14 00:00:00,-600.0
110,"Obama, Barack",Far West,2011-11-18 00:00:00,-1568.0
111,"Obama, Barack",Far West,2011-11-21 00:00:00,-493.0
112,"Obama, Barack",Far West,2011-11-22 00:00:00,-975.0
113,"Obama, Barack",Far West,2011-11-23 00:00:00,-20.0
114,"Obama, Barack",Far West,2011-11-25 00:00:00,-240.0
115,"Obama, Barack",Far West,2011-11-29 00:00:00,-4700.0
116,"Obama, Barack",Far West,2011-12-01 00:00:00,-200.0
117,"Obama, Barack",Far West,2011-12-02 00:00:00,-6167.0
118,"Obama, Barack",Far West,2011-12-03 00:00:00,-200.0
119,"Obama, Barack",Far West,2011-12-05 00:00:00,-2250.0
120,"Obama, Barack",Far West,2011-12-06 00:00:00,-25.0
121,"Obama, Barack",Far West,2011-12-07 00:00:00,-493.0
122,"Obama, Barack",Far West,2011-12-09 00:00:00,-100.0
123,"Obama, Barack",Far West,2011-12-10 00:00:00,-5710.0
124,"Obama, Barack",Far West,2011-12-12 00:00:00,-1025.0
125,"Obama, Barack",Far West,2011-12-13 00:00:00,-525.0
126,"Obama, Barack",Far West,2011-12-15 00:00:00,-250.0
127,"Obama, Barack",Far West,2011-12-16 00:00:00,-1585.0
128,"Obama, Barack",Far West,2011-12-19 00:00:00,-100.0
129,"Obama, Barack",Far West,2011-12-20 00:00:00,-9546.0
130,"Obama, Barack",Far West,2011-12-21 00:00:00,-417.0
131,"Obama, Barack",Far West,2011-12-28 00:00:00,-260.0
132,"Obama, Barack",Far West,2011-12-29 00:00:00,-5095.0
133,"Obama, Barack",Far West,2011-12-30 00:00:00,-1025.0
134,"Obama, Barack",Far West,2011-12-31 00:00:00,-1950.0
135,"Obama, Barack",Far West,2012-01-01 00:00:00,-4475.0
136,"Obama, Barack",Far West,2012-01-03 00:00:00,-525.0
137,"Obama, Barack",Far West,2012-01-04 00:00:00,-1885.0
138,"Obama, Barack",Far West,2012-01-10 00:00:00,-1755.0
139,"Obama, Barack",Far West,2012-01-11 00:00:00,-100.0
140,"Obama, Barack",Far West,2012-01-13 00:00:00,-225.0
141,"Obama, Barack",Far West,2012-01-14 00:00:00,-665.0
142,"Obama, Barack",Far West,2012-01-16 00:00:00,-2200.0
143,"Obama, Barack",Far West,2012-01-17 00:00:00,-6210.0
144,"Obama, Barack",Far West,2012-01-19 00:00:00,-3517.0
